rank,symbol,name,exch_name,sector,industry,country,mcap_eur_m,price,currency,overall,fund_score,ai_score,pillar_quality,pillar_growth,pillar_balance,pillar_valuation,pe_ttm,pe_fwd,ev_ebitda,ev_rev,pb,ps,earnings_yield,fwd_earnings_yield,fcf_yield,div_yield,payout,analyst_upside,n_analysts,rec_key,roe,roa,gm,om,nm,rev_growth,eps_growth,nd_ebitda,net_cash_eur_m,debt_equity,current_ratio,rev_eur_m,employees,rev_emp_keur,insider_pct,beta,w52_change,adv_eur_k,coverage,ai_base,ai_note,dup_class
1,INDU-C.ST,AB Industrivärden (publ),Stockholm,Financial Services,Asset Management,Sweden,20325.05112,519.2,SEK,84.2,91.9,69.8,95.7,98.6,80.4,88.8,3.56765,,3.586,3.58,0.99976,3.54275,0.2803,,0.17599,0.0169,0.0601,-0.07165,2.0,underperform,0.32275,0.19579,1.0,0.99879,0.99306,11.979,12.356,0.03719,-213.00143,0.02799,1.974,5737.08001,15,382472.00055,0.2718,0.937,0.43783,20929.19801,1.0,80,Asset management — research and back-office automation,False
2,INVE-B.ST,Investor AB (publ),Stockholm,Financial Services,Asset Management,Sweden,110236.97479,397.0,SEK,82.4,88.7,70.8,93.0,92.5,77.1,87.1,4.63406,25.20635,4.862,4.031,1.23499,3.70781,0.21579,0.03967,0.13649,0.0141,0.0636,-0.00806,5.0,hold,0.27254,0.15066,0.89444,0.88697,0.80067,1.17,1.589,0.38914,-9593.04023,0.11589,2.236,29731.01071,21005,1415.42541,0.00254,0.778,0.36779,98780.42978,1.0,80,Asset management — research and back-office automation,False
3,PTC,PTC Inc.,USA,Technology,Software - Application,United States,12551.09871,124.37,USD,81.3,79.3,85.1,90.4,87.0,59.3,71.2,11.94717,14.41204,11.602,5.106,3.72154,4.7919,0.0837,0.06939,0.06864,,0.0,0.42719,20.0,buy,0.344,0.1199,0.84713,0.41625,0.41575,0.217,2.689,0.71395,-822.97303,0.3578,1.234,2619.23044,7000,374.17578,0.00325,0.994,-0.37446,188782.63845,1.0,92,Software economics — AI compounds both the product and dev productivity,False
4,CRED-A.ST,Creades AB,Stockholm,Financial Services,Asset Management,Sweden,1030.57337,83.75,SEK,81.3,87.5,69.9,91.5,95.7,56.1,93.1,4.85507,,,4.526,0.88497,4.57733,0.20597,,0.12897,0.0191,0.0928,,,none,0.19881,0.12148,1.0,0.94875,0.94324,2.878,2.967,,11.51114,0.00054,0.623,225.14704,8,28143.3794,0.47891,,0.05612,1285.43854,0.83,80,Asset management — research and back-office automation,False
5,HACK.ST,Hacksaw AB,Stockholm,Communication Services,Electronic Gaming & Multimedia,Sweden,2116.65187,80.75,SEK,81.2,83.7,76.7,98.1,79.9,92.3,65.2,13.59428,,11.90062,9.99792,10.62277,10.07292,0.07356,,0.04649,0.0538,0.0,0.28893,5.0,strong_buy,1.32111,0.72048,0.96542,0.82361,0.73555,0.281,0.563,-0.98454,173.80701,0.01119,8.105,210.13299,275,764.11997,0.61132,,0.03925,4660.92184,1.0,85,Gaming — content pipelines and live-ops are AI-automatable,False
6,MSAB-B.ST,Micro Systemation AB (publ),Stockholm,Technology,Software - Application,Sweden,140.61229,84.0,SEK,79.9,75.1,88.9,85.6,92.0,67.1,55.6,22.34042,26.66667,15.159,2.89,10.86535,3.03659,0.04476,0.0375,0.05214,0.0143,0.3989,0.14286,2.0,strong_buy,0.59636,0.19253,0.93573,0.10286,0.13716,0.522,,-0.73933,6.526,0.51439,1.612,46.30597,205,225.88276,0.2339,,0.53285,132.86612,0.92,92,Software economics — AI compounds both the product and dev productivity,False
7,FISV,"Fiserv, Inc.",USA,,,,23588.72017,50.63,USD,78.7,94.1,50.0,,,,94.1,8.58136,5.66638,,,,,0.11653,0.17648,,,,0.33064,27.0,hold,,,,,,,,,,,,,,,,,,334385.01055,0.08,50,No sector data — neutral,False
8,LINC.ST,Linc AB,Stockholm,Financial Services,Asset Management,Sweden,381.80315,72.8,SEK,78.5,83.2,69.9,82.4,,92.1,79.6,13.0,,,8.853,0.991,9.61738,0.07692,,0.06214,,0.0,-0.02473,1.0,none,0.10371,0.06624,1.0,1.02032,0.95766,,,,21.21159,,37.069,39.69929,2,19849.64713,0.63364,0.688,-0.01355,219.92181,0.58,80,Asset management — research and back-office automation,False
9,GULD.ST,Guldbrev Holding AB (publ),Stockholm,Consumer Cyclical,Internet Retail,Sweden,35.58907,18.7,SEK,78.5,84.3,67.7,79.4,89.3,83.0,87.3,4.49519,,2.708,0.68,4.01978,0.82443,0.22246,,,0.1095,0.0,0.65775,1.0,strong_buy,1.24578,,0.4908,0.26704,0.18354,0.859,0.984,-0.53051,5.75258,,2.671,43.16832,9,4796.47991,0.66982,,-0.08691,154.73176,0.75,82,"E-commerce — recommendation, logistics and support automation",False
10,TEM1V.HE,Tecnotree Oyj,Helsinki,Technology,Software - Application,Finland,159.13155,6.98,EUR,78.3,70.8,92.1,80.5,30.5,89.8,76.7,15.51111,10.90625,4.591,1.733,1.09973,2.20135,0.06447,0.09169,0.06574,0.0017,0.0222,-0.18338,1.0,none,0.09852,0.10941,0.97478,0.27381,0.14943,-0.006,0.0,-0.48747,13.3,0.04127,4.836,72.288,709,101.95769,0.47514,1.344,0.45873,155.11654,1.0,92,Software economics — AI compounds both the product and dev productivity,False
